pdr,tx,rx,delay_ms,ctrl_tx,ctrl_rx,ctrl_dropped,scenario,attack_pps
0.994141,3584,3563,11.518799999999999,14250,5945,0,InsecRPL,150
0.995257,3584,3567,5.944310000000001,1444,1402,40,SecRPL,150
0.992746,3584,3558,11.143099999999999,28501,5948,0,InsecRPL,300
0.994699,3584,3565,5.57179,422,313,109,SecRPL,300
0.992746,3584,3558,14.0597,47500,5952,0,InsecRPL,500
0.994699,3584,3565,5.74888,696,490,205,SecRPL,500
0.993304,3584,3560,12.8934,66501,5941,0,InsecRPL,700
0.994699,3584,3565,6.594069999999999,959,646,308,SecRPL,700
0.992188,3584,3556,14.3498,85501,5919,0,InsecRPL,900
0.994699,3584,3565,5.717759999999999,517,103,403,SecRPL,900
0.991071,3584,3552,15.1122,104500,5887,0,InsecRPL,1100
0.994699,3584,3565,6.16418,1500,970,500,SecRPL,1100
0.995257,3584,3567,5.31939,0,0,0,RPL,150
0.995257,3584,3567,5.31939,0,0,0,RPL,300
0.995257,3584,3567,5.31939,0,0,0,RPL,500
0.995257,3584,3567,5.31939,0,0,0,RPL,700
0.995257,3584,3567,5.31939,0,0,0,RPL,900
0.995257,3584,3567,5.31939,0,0,0,RPL,1100
